sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,format,genre,author,pages,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
B-SEA-ADVENTURE-AUDIOBOOK,Books,simple,books,Books,,Milo and the Sea Audiobook,9,,1,1,2,0.4,"A first chapter book about a boy, a boat and a very patient seagull. Ten short chapters with a picture on every spread. For readers of six to eight.","A first chapter book about a boy, a boat and a very patient seagull.",41,1,Audiobook,Children,Ben Harker,160,b-sea-adventure.webp,b-sea-adventure.webp,b-sea-adventure.webp,b-sea-adventure.webp,milo-and-the-sea-audiobook,,,,,,
B-SEA-ADVENTURE,Books,configurable,books,Books,Children,Milo and the Sea,9,,1,4,2,0.4,"A first chapter book about a boy, a boat and a very patient seagull. Ten short chapters with a picture on every spread. For readers of six to eight.","A first chapter book about a boy, a boat and a very patient seagull.",0,1,,Children,Ben Harker,160,b-sea-adventure.webp,b-sea-adventure.webp,b-sea-adventure.webp,b-sea-adventure.webp,milo-and-the-sea,B-SEA-ADVENTURE-PAPERBACK,format,Paperback,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-SEA-ADVENTURE-AUDIOBOOK,format,Audiobook,,,
B-DRAGON-SCHOOL-PAPERBACK,Books,simple,books,Books,,Dragon School Paperback,9,,1,1,2,0.4,"Where dragons learn to fly and one of them would rather read. A funny school story with a quiet hero. Ages seven to ten, and the adult reading aloud.",Where dragons learn to fly and one of them would rather read.,35,1,Paperback,Children,Ben Harker,176,b-dragon-school.webp,b-dragon-school.webp,b-dragon-school.webp,b-dragon-school.webp,dragon-school-paperback,,,,,,
B-DRAGON-SCHOOL-AUDIOBOOK,Books,simple,books,Books,,Dragon School Audiobook,9,,1,1,2,0.4,"Where dragons learn to fly and one of them would rather read. A funny school story with a quiet hero. Ages seven to ten, and the adult reading aloud.",Where dragons learn to fly and one of them would rather read.,19,1,Audiobook,Children,Ben Harker,176,b-dragon-school.webp,b-dragon-school.webp,b-dragon-school.webp,b-dragon-school.webp,dragon-school-audiobook,,,,,,
B-DRAGON-SCHOOL,Books,configurable,books,Books,Children,Dragon School,9,,1,4,2,0.4,"Where dragons learn to fly and one of them would rather read. A funny school story with a quiet hero. Ages seven to ten, and the adult reading aloud.",Where dragons learn to fly and one of them would rather read.,0,1,,Children,Ben Harker,176,b-dragon-school.webp,b-dragon-school.webp,b-dragon-school.webp,b-dragon-school.webp,dragon-school,B-DRAGON-SCHOOL-PAPERBACK,format,Paperback,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-DRAGON-SCHOOL-AUDIOBOOK,format,Audiobook,,,
B-ABC-ANIMALS,Books,simple,books,Books,Children,A is for Anteater,14,,1,4,2,0.4,"An alphabet of unusual animals, painted in gouache. Every letter gets an animal nobody expects and a painting to match. Ages three to six.","An alphabet of unusual animals, painted in gouache.",60,1,Hardcover,Children,Illustrated by Ada Wren,56,b-abc-animals.webp,b-abc-animals.webp,b-abc-animals.webp,b-abc-animals.webp,a-is-for-anteater,,,,,,
B-SPACE-KIDS,Books,simple,books,Books,Children,Ask an Astronaut,15,,1,4,2,0.4,"Fifty questions from children, answered from orbit. Real questions from real children, answered with patience and photographs. Ages eight and up.","Fifty questions from children, answered from orbit.",20,1,Hardcover,Children|Science,Priya Nair,96,b-space-kids.webp,b-space-kids.webp,b-space-kids.webp,b-space-kids.webp,ask-an-astronaut,,,,,,
,,,,Books,Science & Nature,,,,,,,,,,,,,,,,,,,,,,,,,,
B-POEMS-SEA,Books,simple,books,Books,Fiction,Poems of the Sea,14,,1,4,2,0.4,"Two hundred years of poems about water, in a pocket edition. Two hundred poems in a cloth pocket edition with a ribbon. The kind of book that lives in a coat.","Two hundred years of poems about water, in a pocket edition.",21,1,Hardcover,Poetry,Edited by Ines Halloran,192,b-poems-sea.webp,b-poems-sea.webp,b-poems-sea.webp,b-poems-sea.webp,poems-of-the-sea,,,,,,
B-ATLAS-WALKS,Books,simple,books,Books,Science & Nature,An Atlas of Walks,30,,1,4,2,0.4,"Fifty walks with hand-drawn maps, from a morning to a week. Every walk has a hand-drawn map, a distance, a pub and a train home. Fifty reasons to leave the house.","Fifty walks with hand-drawn maps, from a morning to a week.",25,1,Hardcover,Travel|Nature,Folio Field Guides,352,b-atlas-walks.webp,b-atlas-walks.webp,b-atlas-walks.webp,b-atlas-walks.webp,an-atlas-of-walks,,,,,,
,,,,Books,History,,,,,,,,,,,,,,,,,,,,,,,,,,
B-ART-COLOUR,Books,simple,books,Books,History,The Book of Colour,32,,1,4,2,0.4,"Fifty pigments and the stories of the people who found them. Fifty short chapters, one pigment each, with a swatch printed on the page. A book to open anywhere.",Fifty pigments and the stories of the people who found them.,43,1,Hardcover,Art|History,Nadia Ferro,288,b-art-colour.webp,b-art-colour.webp,b-art-colour.webp,b-art-colour.webp,the-book-of-colour,,,,,,
B-CRIME-SET,Books,grouped,books,Books,Crime & Thrillers,The Ruth Mallory set,27,,1,4,2,0.4,"Both Mallory novels, boxed, at a saving. Cold Harbour and The Long Tide in matching clothbound editions, in a slipcase. Cheaper than the two apart.","Both Mallory novels, boxed, at a saving.",0,1,Paperback,Crime,Detective Ruth Mallory,,b-crime-set.webp,b-crime-set.webp,b-crime-set.webp,b-crime-set.webp,the-ruth-mallory-set,,,,B-COLD-HARBOUR-PAPERBACK,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-LONG-TIDE-PAPERBACK,1,2
B-COOK-SET,Books,grouped,books,Books,Cooking,The kitchen shelf,70,,1,4,2,0.4,"Weeknight, The Bread Book and Vegetables First, together. The three cookbooks our staff use most, in one order. Enough dinners for a year.","Weeknight, The Bread Book and Vegetables First, together.",0,1,Hardcover,Cooking,Various,,b-cook-set.webp,b-cook-set.webp,b-cook-set.webp,b-cook-set.webp,the-kitchen-shelf,,,,B-WEEKNIGHT-HARDCOVER,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-BREAD-BOOK,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-VEG-FIRST-HARDCOVER,1,3
B-BEDTIME-SET,Books,grouped,books,Books,Children,The bedtime shelf,30,,1,4,2,0.4,"Three picture books for the last five minutes of the day. Goodnight Little Fox, The Big Dig and A is for Anteater, packed together. Wrapped on request.",Three picture books for the last five minutes of the day.,0,1,Hardcover,Children,Ada Wren,,b-bedtime-set.webp,b-bedtime-set.webp,b-bedtime-set.webp,b-bedtime-set.webp,the-bedtime-shelf,,,,B-GOODNIGHT-FOX,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-BIG-DIG,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-ABC-ANIMALS,1,3
B-TOTE,Books,simple,books,Books,Fiction,Folio canvas tote,12,,1,4,2,0.4,A heavy canvas tote big enough for a hardback and a loaf. Heavy natural canvas with long handles and a flat bottom. Big enough for a week of reading.,A heavy canvas tote big enough for a hardback and a loaf.,22,1,,,,,b-tote.webp,b-tote.webp,b-tote.webp,b-tote.webp,folio-canvas-tote,,,,,,
B-BOOKMARKS,Books,simple,books,Books,Fiction,Brass bookmark set,9,,1,4,2,0.4,Three brass bookmarks with a folded tab. They do not fall out. Three brass tabs that hook over the page edge. They stay put in a bag and never mark the paper.,Three brass bookmarks with a folded tab.,43,1,,,,,b-bookmarks.webp,b-bookmarks.webp,b-bookmarks.webp,b-bookmarks.webp,brass-bookmark-set,,,,,,
B-READING-LIGHT,Books,simple,books,Books,Fiction,Clip reading light,16,,1,4,2,0.4,"A warm rechargeable clip light for reading beside someone asleep. Warm light, three levels, a clip that fits a paperback or a hardback. Charges by USB-C in an hour.",A warm rechargeable clip light for reading beside someone asleep.,9,1,,,,,b-reading-light.webp,b-reading-light.webp,b-reading-light.webp,b-reading-light.webp,clip-reading-light,,,,,,
B-GIFT-CARD,Books,virtual,books,Books,Fiction,Folio gift card,25,,1,4,2,0.4,"A paper gift card in an envelope, for people who choose their own. A paper card in a linen envelope, posted the same day. Any amount, valid for a year.","A paper gift card in an envelope, for people who choose their own.",44,1,,,,,b-gift-card.webp,b-gift-card.webp,b-gift-card.webp,b-gift-card.webp,folio-gift-card,,,,,,
