sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,light,hardiness,pot_size,material,dimensions,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
N-WATERING-CAN-SILVER,Garden,simple,garden,Garden,,Watering can Silver,38,,1,1,2,2,A 5 litre galvanised can with a brass rose. Galvanised steel with a long spout and a fine brass rose that unscrews. Balanced to pour with one hand.,A 5 litre galvanised can with a brass rose.,53,1,,,,Stainless steel,,n-watering-can-silver.webp,n-watering-can-silver.webp,n-watering-can-silver.webp,n-watering-can-silver.webp,watering-can-silver,,,,,,
N-WATERING-CAN-GREEN,Garden,simple,garden,Garden,,Watering can Green,38,,1,1,2,2,A 5 litre galvanised can with a brass rose. Galvanised steel with a long spout and a fine brass rose that unscrews. Balanced to pour with one hand.,A 5 litre galvanised can with a brass rose.,36,1,,,,Stainless steel,,n-watering-can-green.webp,n-watering-can-green.webp,n-watering-can-green.webp,n-watering-can-green.webp,watering-can-green,,,,,,
N-WATERING-CAN,Garden,configurable,garden,Garden,Tools,Watering can,38,,1,4,2,2,A 5 litre galvanised can with a brass rose. Galvanised steel with a long spout and a fine brass rose that unscrews. Balanced to pour with one hand.,A 5 litre galvanised can with a brass rose.,0,1,,,,Stainless steel,,n-watering-can-silver.webp,n-watering-can-silver.webp,n-watering-can-silver.webp,n-watering-can-silver.webp,watering-can,N-WATERING-CAN-SILVER,color,Silver,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-WATERING-CAN-GREEN,color,Green,,,
N-GLOVES-S,Garden,simple,garden,Garden,,Leather gloves S,18,,1,1,2,2,"Goatskin gloves that let you feel a seedling. Soft goatskin with a cotton back, in three sizes. Thorns do not get through.",Goatskin gloves that let you feel a seedling.,11,1,,,,Leather,,n-gloves.webp,n-gloves.webp,n-gloves.webp,n-gloves.webp,leather-gloves-s,,,,,,
N-GLOVES-M,Garden,simple,garden,Garden,,Leather gloves M,18,,1,1,2,2,"Goatskin gloves that let you feel a seedling. Soft goatskin with a cotton back, in three sizes. Thorns do not get through.",Goatskin gloves that let you feel a seedling.,37,1,,,,Leather,,n-gloves.webp,n-gloves.webp,n-gloves.webp,n-gloves.webp,leather-gloves-m,,,,,,
N-GLOVES-L,Garden,simple,garden,Garden,,Leather gloves L,18,,1,1,2,2,"Goatskin gloves that let you feel a seedling. Soft goatskin with a cotton back, in three sizes. Thorns do not get through.",Goatskin gloves that let you feel a seedling.,15,1,,,,Leather,,n-gloves.webp,n-gloves.webp,n-gloves.webp,n-gloves.webp,leather-gloves-l,,,,,,
N-GLOVES,Garden,configurable,garden,Garden,Tools,Leather gloves,18,,1,4,2,2,"Goatskin gloves that let you feel a seedling. Soft goatskin with a cotton back, in three sizes. Thorns do not get through.",Goatskin gloves that let you feel a seedling.,0,1,,,,Leather,,n-gloves.webp,n-gloves.webp,n-gloves.webp,n-gloves.webp,leather-gloves,N-GLOVES-S,size,S,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-GLOVES-M,size,M,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-GLOVES-L,size,L,,,
N-HOE,Garden,simple,garden,Garden,Tools,Dutch hoe,42,,1,4,2,2,A push hoe for weeds between rows. A sharp blade on a 150 cm ash handle. Walk backwards and the weeds are gone.,A push hoe for weeds between rows.,8,1,,,,Stainless steel,,n-hoe.webp,n-hoe.webp,n-hoe.webp,n-hoe.webp,dutch-hoe,,,,,,
N-KNEELER,Garden,simple,garden,Garden,Tools,Kneeling pad,14,,1,4,2,2,A thick foam pad for beds and borders. Thick closed-cell foam that does not soak up water. It hangs on a hook by a loop.,A thick foam pad for beds and borders.,42,1,,,,Rubber,,n-kneeler.webp,n-kneeler.webp,n-kneeler.webp,n-kneeler.webp,kneeling-pad,,,,,,
N-TOOL-SET,Garden,simple,garden,Garden,Tools,Hand tool set,55,,1,4,2,2,"Trowel, fork and dibber in a canvas roll. Three stainless tools with ash handles in a canvas roll. A good first set or a good gift.","Trowel, fork and dibber in a canvas roll.",20,1,,,,Stainless steel,,n-tool-set.webp,n-tool-set.webp,n-tool-set.webp,n-tool-set.webp,hand-tool-set,,,,,,
N-BENCH,Garden,simple,garden,Garden,Outdoor Furniture,Oak garden bench,390,,1,4,2,2,"A 150 cm oak bench that greys outside and lasts decades. Solid oak, joined with oak pegs and stainless screws. Leave it to silver or oil it once a year.",A 150 cm oak bench that greys outside and lasts decades.,18,1,,,,Oak,150 x 55 x 85 cm,n-bench.webp,n-bench.webp,n-bench.webp,n-bench.webp,oak-garden-bench,,,,,,
N-BISTRO-SET-GREEN,Garden,simple,garden,Garden,,Bistro set Green,220,,1,1,2,2,A folding steel table and two chairs for a balcony. Powder-coated steel that folds flat against a wall. The table is 60 cm across.,A folding steel table and two chairs for a balcony.,14,1,,,,Stainless steel,60 cm table,n-bistro-set-green.webp,n-bistro-set-green.webp,n-bistro-set-green.webp,n-bistro-set-green.webp,bistro-set-green,,,,,,
N-BISTRO-SET-BLACK,Garden,simple,garden,Garden,,Bistro set Black,220,,1,1,2,2,A folding steel table and two chairs for a balcony. Powder-coated steel that folds flat against a wall. The table is 60 cm across.,A folding steel table and two chairs for a balcony.,52,1,,,,Stainless steel,60 cm table,n-bistro-set-black.webp,n-bistro-set-black.webp,n-bistro-set-black.webp,n-bistro-set-black.webp,bistro-set-black,,,,,,
N-BISTRO-SET-WHITE,Garden,simple,garden,Garden,,Bistro set White,220,,1,1,2,2,A folding steel table and two chairs for a balcony. Powder-coated steel that folds flat against a wall. The table is 60 cm across.,A folding steel table and two chairs for a balcony.,25,1,,,,Stainless steel,60 cm table,n-bistro-set-white.webp,n-bistro-set-white.webp,n-bistro-set-white.webp,n-bistro-set-white.webp,bistro-set-white,,,,,,
N-BISTRO-SET,Garden,configurable,garden,Garden,Outdoor Furniture,Bistro set,220,,1,4,2,2,A folding steel table and two chairs for a balcony. Powder-coated steel that folds flat against a wall. The table is 60 cm across.,A folding steel table and two chairs for a balcony.,0,1,,,,Stainless steel,60 cm table,n-bistro-set-green.webp,n-bistro-set-green.webp,n-bistro-set-green.webp,n-bistro-set-green.webp,bistro-set,N-BISTRO-SET-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-BISTRO-SET-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-BISTRO-SET-WHITE,color,White,,,
N-DECK-CHAIR,Garden,simple,garden,Garden,Outdoor Furniture,Deck chair,85,,1,4,2,2,A beech deck chair with a striped canvas seat. Oiled beech with a canvas seat that unclips for washing. It folds flat for winter.,A beech deck chair with a striped canvas seat.,31,1,,,,Oak,,n-deck-chair.webp,n-deck-chair.webp,n-deck-chair.webp,n-deck-chair.webp,deck-chair,,,,,,
N-PARASOL-OATMEAL,Garden,simple,garden,Garden,,Parasol Oatmeal,140,,1,1,2,2,A 2.5 m parasol with an ash pole and a canvas cover. A 2.5 m canopy on an ash pole with a brass tilt joint. The base is sold separately.,A 2.5 m parasol with an ash pole and a canvas cover.,47,1,,,,Cotton,,n-parasol-oatmeal.webp,n-parasol-oatmeal.webp,n-parasol-oatmeal.webp,n-parasol-oatmeal.webp,parasol-oatmeal,,,,,,
N-PARASOL-GREEN,Garden,simple,garden,Garden,,Parasol Green,140,,1,1,2,2,A 2.5 m parasol with an ash pole and a canvas cover. A 2.5 m canopy on an ash pole with a brass tilt joint. The base is sold separately.,A 2.5 m parasol with an ash pole and a canvas cover.,44,1,,,,Cotton,,n-parasol-green.webp,n-parasol-green.webp,n-parasol-green.webp,n-parasol-green.webp,parasol-green,,,,,,
N-PARASOL,Garden,configurable,garden,Garden,Outdoor Furniture,Parasol,140,,1,4,2,2,A 2.5 m parasol with an ash pole and a canvas cover. A 2.5 m canopy on an ash pole with a brass tilt joint. The base is sold separately.,A 2.5 m parasol with an ash pole and a canvas cover.,0,1,,,,Cotton,,n-parasol-oatmeal.webp,n-parasol-oatmeal.webp,n-parasol-oatmeal.webp,n-parasol-oatmeal.webp,parasol,N-PARASOL-OATMEAL,color,Oatmeal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-PARASOL-GREEN,color,Green,,,
N-FIRE-BOWL,Garden,simple,garden,Garden,Outdoor Furniture,Steel fire bowl,160,,1,4,2,2,A 70 cm steel fire bowl that rusts to a warm brown. Three millimetre steel on a tripod stand. It arrives grey and turns brown in a month outside.,A 70 cm steel fire bowl that rusts to a warm brown.,20,1,,,,Stainless steel,70 cm,n-fire-bowl.webp,n-fire-bowl.webp,n-fire-bowl.webp,n-fire-bowl.webp,steel-fire-bowl,,,,,,
N-POTTING-BENCH,Garden,simple,garden,Garden,Outdoor Furniture,Potting bench,240,,1,4,2,2,A pine potting bench with a zinc top and a shelf. A zinc top that wipes clean and a shelf for pots. Assembly takes twenty minutes.,A pine potting bench with a zinc top and a shelf.,42,1,,,,Oak,120 x 50 x 90 cm,n-potting-bench.webp,n-potting-bench.webp,n-potting-bench.webp,n-potting-bench.webp,potting-bench,,,,,,
,,,,Garden,Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-STARTER-KIT,Garden,grouped,garden,Garden,Seeds & Bulbs,Kitchen garden kit,45,,1,4,2,2,"Tomato, bean and lettuce seed, three trays and a trowel. Everything for a first season of vegetables in one box. The instructions fit on one card.","Tomato, bean and lettuce seed, three trays and a trowel.",0,1,,,,,,n-starter-kit.webp,n-starter-kit.webp,n-starter-kit.webp,n-starter-kit.webp,kitchen-garden-kit,,,,N-TOMATO-SEED,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-BEAN-SEED,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-LETTUCE-SEED,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-SEED-TRAY,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-TROWEL,1,5
,,,,Garden,Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-SHADE-SET,Garden,grouped,garden,Garden,Outdoor Plants,Shady corner set,34,,1,4,2,2,"A hardy fern, a hosta and a bag of compost. Two plants that thrive where nothing else will, with the compost to plant them. For a north-facing corner.","A hardy fern, a hosta and a bag of compost.",0,1,Shade,Hardy,,,,n-shade-set.webp,n-shade-set.webp,n-shade-set.webp,n-shade-set.webp,shady-corner-set,,,,N-FERN-OUTDOOR,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-HOSTA,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-COMPOST,1,3
N-GIFT-CARD,Garden,virtual,garden,Garden,Pots & Planters,Greenhaven gift card,40,,1,4,2,2,"A gift card by email, for the plant they choose. Delivered by email within the hour, with a message of your own. Valid for a year in the store.","A gift card by email, for the plant they choose.",44,1,,,,,,n-gift-card.webp,n-gift-card.webp,n-gift-card.webp,n-gift-card.webp,greenhaven-gift-card,,,,,,
