sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,age_range,size,color,material,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
K-HAT-BLUE,Kids,simple,kids,Kids,,Sun hat Blue,16,,1,1,2,0.5,A wide-brim cotton sun hat with a chin strap. The brim shades the neck and the strap keeps the wind from taking it. From six months to six years.,A wide-brim cotton sun hat with a chin strap.,57,1,1 to 3,,Blue,Cotton,k-hat-blue.webp,k-hat-blue.webp,k-hat-blue.webp,k-hat-blue.webp,sun-hat-blue,,,,,,
K-HAT-YELLOW,Kids,simple,kids,Kids,,Sun hat Yellow,16,,1,1,2,0.5,A wide-brim cotton sun hat with a chin strap. The brim shades the neck and the strap keeps the wind from taking it. From six months to six years.,A wide-brim cotton sun hat with a chin strap.,27,1,1 to 3,,Yellow,Cotton,k-hat-yellow.webp,k-hat-yellow.webp,k-hat-yellow.webp,k-hat-yellow.webp,sun-hat-yellow,,,,,,
K-HAT,Kids,configurable,kids,Kids,Clothing,Sun hat,16,,1,4,2,0.5,A wide-brim cotton sun hat with a chin strap. The brim shades the neck and the strap keeps the wind from taking it. From six months to six years.,A wide-brim cotton sun hat with a chin strap.,0,1,1 to 3,,,Cotton,k-hat-oatmeal.webp,k-hat-oatmeal.webp,k-hat-oatmeal.webp,k-hat-oatmeal.webp,sun-hat,K-HAT-OATMEAL,color,Oatmeal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-HAT-BLUE,color,Blue,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-HAT-YELLOW,color,Yellow,,,
,,,,Kids,Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,
K-BOARD-BOOK,Kids,simple,kids,Kids,Books,Board book set,24,,1,4,2,0.5,"Four board books about colours, animals, food and bedtime. Thick pages, rounded corners and colours that hold up to chewing. From six months.","Four board books about colours, animals, food and bedtime.",39,1,0 to 1,,Yellow,,k-board-book.webp,k-board-book.webp,k-board-book.webp,k-board-book.webp,board-book-set,,,,,,
,,,,Kids,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,
K-PICTURE-BOOK,Kids,simple,kids,Kids,Books,The Lark Who Lost Her Song,14,,1,4,2,0.5,"A picture book about a bird, a storm and the neighbour who helped. Thirty-two pages with a picture on every spread. From three years.","A picture book about a bird, a storm and the neighbour who helped.",24,1,3 to 5,,Blue Light,,k-picture-book.webp,k-picture-book.webp,k-picture-book.webp,k-picture-book.webp,the-lark-who-lost-her-song,,,,,,
K-BEDTIME-BOOK,Kids,simple,kids,Kids,Books,One Hundred Goodnights,14,,1,4,2,0.5,"A hundred one-line goodnights, one page each. One line per page, so the reading stops when the eyes close. From one year.","A hundred one-line goodnights, one page each.",60,1,1 to 3,,Blue Dark,,k-bedtime-book.webp,k-bedtime-book.webp,k-bedtime-book.webp,k-bedtime-book.webp,one-hundred-goodnights,,,,,,
K-FIRST-READER,Kids,simple,kids,Kids,Books,Otto and the Big Puddle,9,,1,4,2,0.5,"A first reader with short words and long puddles. Short chapters, big type and a joke on every page. From five years.",A first reader with short words and long puddles.,22,1,5 to 8,,Yellow,,k-first-reader.webp,k-first-reader.webp,k-first-reader.webp,k-first-reader.webp,otto-and-the-big-puddle,,,,,,
K-ATLAS,Kids,simple,kids,Kids,Books,My First Atlas,22,,1,4,2,0.5,"A large illustrated atlas with animals on every page. Every continent on a double spread, with the animals that live there. From four years.",A large illustrated atlas with animals on every page.,37,1,5 to 8,,Green,,k-atlas.webp,k-atlas.webp,k-atlas.webp,k-atlas.webp,my-first-atlas,,,,,,
K-COT,Kids,simple,kids,Kids,Nursery,Convertible cot,390,,1,4,2,0.5,"A beech cot that becomes a toddler bed, with three mattress heights. Solid beech with a mattress base at three heights. It converts with the parts in the box.","A beech cot that becomes a toddler bed, with three mattress heights.",27,1,0 to 1,,Oatmeal,Oak,k-cot.webp,k-cot.webp,k-cot.webp,k-cot.webp,convertible-cot,,,,,,
K-CHANGING-TABLE,Kids,simple,kids,Kids,Nursery,Changing table,290,,1,4,2,0.5,A changing table with two shelves that becomes a desk. The top lifts off and it becomes a desk when the nappies are done. Solid birch.,A changing table with two shelves that becomes a desk.,44,1,0 to 1,,White,Oak,k-changing-table.webp,k-changing-table.webp,k-changing-table.webp,k-changing-table.webp,changing-table,,,,,,
K-ROCKER,Kids,simple,kids,Kids,Nursery,Rocking chair,340,,1,4,2,0.5,"A nursing chair in boucle on ash rockers. Deep seat, high arms and a quiet rock. The boucle cover is removable.",A nursing chair in boucle on ash rockers.,22,1,0 to 1,,Oatmeal,Wool,k-rocker.webp,k-rocker.webp,k-rocker.webp,k-rocker.webp,rocking-chair,,,,,,
K-MOBILE,Kids,simple,kids,Kids,Nursery,Felt mobile,36,,1,4,2,0.5,"Clouds, a moon and three birds in wool felt. Wool felt shapes on a wooden arm that clips to a cot. It turns in a draught.","Clouds, a moon and three birds in wool felt.",15,1,0 to 1,,White,Wool,k-mobile.webp,k-mobile.webp,k-mobile.webp,k-mobile.webp,felt-mobile,,,,,,
,,,,Kids,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,
K-SHELF,Kids,simple,kids,Kids,Nursery,Picture book shelf,90,,1,4,2,0.5,"A front-facing shelf so covers show. Three shallow shelves show the covers, so a child can choose. Fixings for the wall are included.",A front-facing shelf so covers show.,54,1,1 to 3,,Oatmeal,Oak,k-shelf.webp,k-shelf.webp,k-shelf.webp,k-shelf.webp,picture-book-shelf,,,,,,
,,,,Kids,Books,,,,,,,,,,,,,,,,,,,,,,,,,,
K-STORAGE,Kids,simple,kids,Kids,Nursery,"Toy storage boxes, set of 3",48,,1,4,2,0.5,Three felt boxes with wooden handles. Felt boxes that fold flat and stand firm. Each one holds a season of toys.,Three felt boxes with wooden handles.,13,1,1 to 3,,Grey,Wool,k-storage.webp,k-storage.webp,k-storage.webp,k-storage.webp,toy-storage-boxes-set-of-3,,,,,,
K-NIGHT-LIGHT,Kids,simple,kids,Kids,Nursery,Rabbit night light,32,,1,4,2,0.5,"A silicone rabbit that glows warm and dims with a tap. Tap once for warm light, twice for dim, and it turns itself off after an hour. Charges by USB-C.",A silicone rabbit that glows warm and dims with a tap.,37,1,0 to 1,,White,Rubber,k-night-light.webp,k-night-light.webp,k-night-light.webp,k-night-light.webp,rabbit-night-light,,,,,,
K-MUSLINS-WHITE,Kids,simple,kids,Kids,,"Muslin squares, 3 pack White",22,,1,1,2,0.5,"Three large organic muslins, for everything. Large squares of double-layer organic cotton, 120 by 120 cm. Swaddle, burp cloth, sun shade.","Three large organic muslins, for everything.",23,1,0 to 1,,White,Cotton,k-muslins-white.webp,k-muslins-white.webp,k-muslins-white.webp,k-muslins-white.webp,muslin-squares-3-pack-white,,,,,,
K-MUSLINS-OATMEAL,Kids,simple,kids,Kids,,"Muslin squares, 3 pack Oatmeal",22,,1,1,2,0.5,"Three large organic muslins, for everything. Large squares of double-layer organic cotton, 120 by 120 cm. Swaddle, burp cloth, sun shade.","Three large organic muslins, for everything.",36,1,0 to 1,,Oatmeal,Cotton,k-muslins-oatmeal.webp,k-muslins-oatmeal.webp,k-muslins-oatmeal.webp,k-muslins-oatmeal.webp,muslin-squares-3-pack-oatmeal,,,,,,
K-MUSLINS-GREEN,Kids,simple,kids,Kids,,"Muslin squares, 3 pack Green",22,,1,1,2,0.5,"Three large organic muslins, for everything. Large squares of double-layer organic cotton, 120 by 120 cm. Swaddle, burp cloth, sun shade.","Three large organic muslins, for everything.",33,1,0 to 1,,Green,Cotton,k-muslins-green.webp,k-muslins-green.webp,k-muslins-green.webp,k-muslins-green.webp,muslin-squares-3-pack-green,,,,,,
K-MUSLINS,Kids,configurable,kids,Kids,Nursery,"Muslin squares, 3 pack",22,,1,4,2,0.5,"Three large organic muslins, for everything. Large squares of double-layer organic cotton, 120 by 120 cm. Swaddle, burp cloth, sun shade.","Three large organic muslins, for everything.",0,1,0 to 1,,,Cotton,k-muslins-white.webp,k-muslins-white.webp,k-muslins-white.webp,k-muslins-white.webp,muslin-squares-3-pack,K-MUSLINS-WHITE,color,White,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-MUSLINS-OATMEAL,color,Oatmeal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-MUSLINS-GREEN,color,Green,,,
,,,,Kids,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,
K-BALANCE-BIKE-RED,Kids,simple,kids,Kids,,Balance bike Red,120,,1,1,2,0.5,"A birch balance bike with a padded seat and 12 inch tyres. Air tyres, a low frame and a seat that rises with the child. From two years.",A birch balance bike with a padded seat and 12 inch tyres.,41,1,1 to 3,,Red,Oak,k-balance-bike-red.webp,k-balance-bike-red.webp,k-balance-bike-red.webp,k-balance-bike-red.webp,balance-bike-red,,,,,,
K-BALANCE-BIKE-GREEN,Kids,simple,kids,Kids,,Balance bike Green,120,,1,1,2,0.5,"A birch balance bike with a padded seat and 12 inch tyres. Air tyres, a low frame and a seat that rises with the child. From two years.",A birch balance bike with a padded seat and 12 inch tyres.,13,1,1 to 3,,Green,Oak,k-balance-bike-green.webp,k-balance-bike-green.webp,k-balance-bike-green.webp,k-balance-bike-green.webp,balance-bike-green,,,,,,
K-BALANCE-BIKE-BLUE,Kids,simple,kids,Kids,,Balance bike Blue,120,,1,1,2,0.5,"A birch balance bike with a padded seat and 12 inch tyres. Air tyres, a low frame and a seat that rises with the child. From two years.",A birch balance bike with a padded seat and 12 inch tyres.,38,1,1 to 3,,Blue,Oak,k-balance-bike-blue.webp,k-balance-bike-blue.webp,k-balance-bike-blue.webp,k-balance-bike-blue.webp,balance-bike-blue,,,,,,
K-BALANCE-BIKE,Kids,configurable,kids,Kids,Outdoor,Balance bike,120,,1,4,2,0.5,"A birch balance bike with a padded seat and 12 inch tyres. Air tyres, a low frame and a seat that rises with the child. From two years.",A birch balance bike with a padded seat and 12 inch tyres.,0,1,1 to 3,,,Oak,k-balance-bike-red.webp,k-balance-bike-red.webp,k-balance-bike-red.webp,k-balance-bike-red.webp,balance-bike,K-BALANCE-BIKE-RED,color,Red,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-BALANCE-BIKE-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-BALANCE-BIKE-BLUE,color,Blue,,,
K-SCOOTER-BLUE,Kids,simple,kids,Kids,,Three-wheel scooter Blue,85,,1,1,2,0.5,"A lean-to-steer scooter with a light-up deck. Lean to steer, so it is easy to learn. The deck lights up when it rolls. From three years.",A lean-to-steer scooter with a light-up deck.,55,1,3 to 5,,Blue,Nylon,k-scooter-blue.webp,k-scooter-blue.webp,k-scooter-blue.webp,k-scooter-blue.webp,three-wheel-scooter-blue,,,,,,
K-SCOOTER-PINK,Kids,simple,kids,Kids,,Three-wheel scooter Pink,85,,1,1,2,0.5,"A lean-to-steer scooter with a light-up deck. Lean to steer, so it is easy to learn. The deck lights up when it rolls. From three years.",A lean-to-steer scooter with a light-up deck.,12,1,3 to 5,,Pink,Nylon,k-scooter-pink.webp,k-scooter-pink.webp,k-scooter-pink.webp,k-scooter-pink.webp,three-wheel-scooter-pink,,,,,,
K-SCOOTER-GREEN,Kids,simple,kids,Kids,,Three-wheel scooter Green,85,,1,1,2,0.5,"A lean-to-steer scooter with a light-up deck. Lean to steer, so it is easy to learn. The deck lights up when it rolls. From three years.",A lean-to-steer scooter with a light-up deck.,34,1,3 to 5,,Green,Nylon,k-scooter-green.webp,k-scooter-green.webp,k-scooter-green.webp,k-scooter-green.webp,three-wheel-scooter-green,,,,,,
K-SCOOTER,Kids,configurable,kids,Kids,Outdoor,Three-wheel scooter,85,,1,4,2,0.5,"A lean-to-steer scooter with a light-up deck. Lean to steer, so it is easy to learn. The deck lights up when it rolls. From three years.",A lean-to-steer scooter with a light-up deck.,0,1,3 to 5,,,Nylon,k-scooter-blue.webp,k-scooter-blue.webp,k-scooter-blue.webp,k-scooter-blue.webp,three-wheel-scooter,K-SCOOTER-BLUE,color,Blue,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SCOOTER-PINK,color,Pink,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SCOOTER-GREEN,color,Green,,,
K-RAIN-SUIT-YELLOW,Kids,simple,kids,Kids,,Rain suit Yellow,45,,1,1,2,0.5,A one-piece rain suit with taped seams and welded feet loops. Waterproof to 10 000 mm with taped seams and elastic cuffs. From one to six years.,A one-piece rain suit with taped seams and welded feet loops.,9,1,1 to 3,,Yellow,Recycled polyester,k-rain-suit-yellow.webp,k-rain-suit-yellow.webp,k-rain-suit-yellow.webp,k-rain-suit-yellow.webp,rain-suit-yellow,,,,,,
K-RAIN-SUIT-BLUE-DARK,Kids,simple,kids,Kids,,Rain suit Blue Dark,45,,1,1,2,0.5,A one-piece rain suit with taped seams and welded feet loops. Waterproof to 10 000 mm with taped seams and elastic cuffs. From one to six years.,A one-piece rain suit with taped seams and welded feet loops.,54,1,1 to 3,,Blue Dark,Recycled polyester,k-rain-suit-blue-dark.webp,k-rain-suit-blue-dark.webp,k-rain-suit-blue-dark.webp,k-rain-suit-blue-dark.webp,rain-suit-blue-dark,,,,,,
K-RAIN-SUIT,Kids,configurable,kids,Kids,Outdoor,Rain suit,45,,1,4,2,0.5,A one-piece rain suit with taped seams and welded feet loops. Waterproof to 10 000 mm with taped seams and elastic cuffs. From one to six years.,A one-piece rain suit with taped seams and welded feet loops.,0,1,1 to 3,,,Recycled polyester,k-rain-suit-yellow.webp,k-rain-suit-yellow.webp,k-rain-suit-yellow.webp,k-rain-suit-yellow.webp,rain-suit,K-RAIN-SUIT-YELLOW,color,Yellow,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-RAIN-SUIT-BLUE-DARK,color,Blue Dark,,,
,,,,Kids,Clothing,,,,,,,,,,,,,,,,,,,,,,,,,,
K-WELLIES-YELLOW,Kids,simple,kids,Kids,,Wellies Yellow,28,,1,1,2,0.5,Natural rubber wellies with a pull loop. Natural rubber with a cotton lining and a loop for pulling. Sizes from 20 to 34.,Natural rubber wellies with a pull loop.,19,1,1 to 3,,Yellow,Rubber,k-wellies-yellow.webp,k-wellies-yellow.webp,k-wellies-yellow.webp,k-wellies-yellow.webp,wellies-yellow,,,,,,
K-WELLIES-GREEN,Kids,simple,kids,Kids,,Wellies Green,28,,1,1,2,0.5,Natural rubber wellies with a pull loop. Natural rubber with a cotton lining and a loop for pulling. Sizes from 20 to 34.,Natural rubber wellies with a pull loop.,42,1,1 to 3,,Green,Rubber,k-wellies-green.webp,k-wellies-green.webp,k-wellies-green.webp,k-wellies-green.webp,wellies-green,,,,,,
K-WELLIES-RED,Kids,simple,kids,Kids,,Wellies Red,28,,1,1,2,0.5,Natural rubber wellies with a pull loop. Natural rubber with a cotton lining and a loop for pulling. Sizes from 20 to 34.,Natural rubber wellies with a pull loop.,32,1,1 to 3,,Red,Rubber,k-wellies-red.webp,k-wellies-red.webp,k-wellies-red.webp,k-wellies-red.webp,wellies-red,,,,,,
K-WELLIES,Kids,configurable,kids,Kids,Outdoor,Wellies,28,,1,4,2,0.5,Natural rubber wellies with a pull loop. Natural rubber with a cotton lining and a loop for pulling. Sizes from 20 to 34.,Natural rubber wellies with a pull loop.,0,1,1 to 3,,,Rubber,k-wellies-yellow.webp,k-wellies-yellow.webp,k-wellies-yellow.webp,k-wellies-yellow.webp,wellies,K-WELLIES-YELLOW,color,Yellow,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-WELLIES-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-WELLIES-RED,color,Red,,,
K-HELMET-BLUE,Kids,simple,kids,Kids,,Kids helmet Blue,40,,1,1,2,0.5,A light helmet with a dial fit and a rear light. Adjust the dial and the helmet fits for two years of growing. From two years.,A light helmet with a dial fit and a rear light.,29,1,3 to 5,,Blue,Recycled polyester,k-helmet-blue.webp,k-helmet-blue.webp,k-helmet-blue.webp,k-helmet-blue.webp,kids-helmet-blue,,,,,,
K-HELMET-PINK,Kids,simple,kids,Kids,,Kids helmet Pink,40,,1,1,2,0.5,A light helmet with a dial fit and a rear light. Adjust the dial and the helmet fits for two years of growing. From two years.,A light helmet with a dial fit and a rear light.,12,1,3 to 5,,Pink,Recycled polyester,k-helmet-pink.webp,k-helmet-pink.webp,k-helmet-pink.webp,k-helmet-pink.webp,kids-helmet-pink,,,,,,
K-HELMET-GREEN,Kids,simple,kids,Kids,,Kids helmet Green,40,,1,1,2,0.5,A light helmet with a dial fit and a rear light. Adjust the dial and the helmet fits for two years of growing. From two years.,A light helmet with a dial fit and a rear light.,41,1,3 to 5,,Green,Recycled polyester,k-helmet-green.webp,k-helmet-green.webp,k-helmet-green.webp,k-helmet-green.webp,kids-helmet-green,,,,,,
K-HELMET,Kids,configurable,kids,Kids,Outdoor,Kids helmet,40,,1,4,2,0.5,A light helmet with a dial fit and a rear light. Adjust the dial and the helmet fits for two years of growing. From two years.,A light helmet with a dial fit and a rear light.,0,1,3 to 5,,,Recycled polyester,k-helmet-blue.webp,k-helmet-blue.webp,k-helmet-blue.webp,k-helmet-blue.webp,kids-helmet,K-HELMET-BLUE,color,Blue,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-HELMET-PINK,color,Pink,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-HELMET-GREEN,color,Green,,,
K-SAND-SET,Kids,simple,kids,Kids,Outdoor,Sand play set,18,,1,4,2,0.5,"A bucket, a spade, a rake and two moulds in recycled plastic. Thick recycled plastic that survives a summer. The mould shapes are a fish and a star.","A bucket, a spade, a rake and two moulds in recycled plastic.",19,1,1 to 3,,Yellow,Recycled polyester,k-sand-set.webp,k-sand-set.webp,k-sand-set.webp,k-sand-set.webp,sand-play-set,,,,,,
K-KITE,Kids,simple,kids,Kids,Outdoor,Bird kite,22,,1,4,2,0.5,"A single-line kite shaped like a lark, easy to launch. A single line and a tail, ready to fly from the bag. From four years.","A single-line kite shaped like a lark, easy to launch.",23,1,5 to 8,,Orange,Nylon,k-kite.webp,k-kite.webp,k-kite.webp,k-kite.webp,bird-kite,,,,,,
K-NEWBORN-BOX,Kids,grouped,kids,Kids,Gifts,Newborn box,70,,1,4,2,0.5,"A rattle, three muslins, a bodysuit pack and the board books, boxed. The four things every new baby needs, in a box with a card. Wrapped on request.","A rattle, three muslins, a bodysuit pack and the board books, boxed.",0,1,0 to 1,,,,k-newborn-box.webp,k-newborn-box.webp,k-newborn-box.webp,k-newborn-box.webp,newborn-box,,,,K-RATTLE,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-MUSLINS-WHITE,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-BODYSUIT-WHITE,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-BOARD-BOOK,1,4
K-BIRTHDAY-BOX,Kids,grouped,kids,Kids,Gifts,"Birthday box, age 3",95,,1,4,2,0.5,"A puzzle, the car set, a picture book and a sun hat. Four presents for a third birthday, chosen to be played with together. Wrapped on request.","A puzzle, the car set, a picture book and a sun hat.",0,1,3 to 5,,,,k-birthday-box.webp,k-birthday-box.webp,k-birthday-box.webp,k-birthday-box.webp,birthday-box-age-3,,,,K-PUZZLE,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-CAR-SET,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-PICTURE-BOOK,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-HAT-OATMEAL,1,4
K-GIFT-CARD,Kids,virtual,kids,Kids,Gifts,Little Lark gift card,30,,1,4,2,0.5,"A gift card by email. Delivered by email within the hour, with a message of your own. Valid for a year in the store.",A gift card by email.,40,1,,,,,k-gift-card.webp,k-gift-card.webp,k-gift-card.webp,k-gift-card.webp,little-lark-gift-card,,,,,,
