sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,skin_type,volume,scent,color,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
G-EDP-NEROLI,Beauty,configurable,beauty,Beauty,Fragrance,Neroli eau de parfum,68,,1,4,2,0.2,"Orange blossom, petitgrain and a little musk. Bright in the morning, soft by lunch. Made for warm weather and white shirts.","Orange blossom, petitgrain and a little musk.",0,1,,,Neroli,,g-edp-neroli.webp,g-edp-neroli.webp,g-edp-neroli.webp,g-edp-neroli.webp,neroli-eau-de-parfum,G-EDP-NEROLI-30-ML,volume,30 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-EDP-NEROLI-50-ML,volume,50 ml,,,
G-EDP-CEDAR-30-ML,Beauty,simple,beauty,Beauty,,Cedar eau de parfum 30 ml,68,,1,1,2,0.2,"Cedar, vetiver and black pepper. Warm and dry. A dry, quiet scent that stays close to the skin. The pepper fades first and the cedar stays until evening.","Cedar, vetiver and black pepper.",21,1,,30 ml,Cedar,,g-edp-cedar.webp,g-edp-cedar.webp,g-edp-cedar.webp,g-edp-cedar.webp,cedar-eau-de-parfum-30-ml,,,,,,
G-EDP-CEDAR-50-ML,Beauty,simple,beauty,Beauty,,Cedar eau de parfum 50 ml,68,,1,1,2,0.2,"Cedar, vetiver and black pepper. Warm and dry. A dry, quiet scent that stays close to the skin. The pepper fades first and the cedar stays until evening.","Cedar, vetiver and black pepper.",16,1,,50 ml,Cedar,,g-edp-cedar.webp,g-edp-cedar.webp,g-edp-cedar.webp,g-edp-cedar.webp,cedar-eau-de-parfum-50-ml,,,,,,
G-EDP-CEDAR,Beauty,configurable,beauty,Beauty,Fragrance,Cedar eau de parfum,68,,1,4,2,0.2,"Cedar, vetiver and black pepper. Warm and dry. A dry, quiet scent that stays close to the skin. The pepper fades first and the cedar stays until evening.","Cedar, vetiver and black pepper.",0,1,,,Cedar,,g-edp-cedar.webp,g-edp-cedar.webp,g-edp-cedar.webp,g-edp-cedar.webp,cedar-eau-de-parfum,G-EDP-CEDAR-30-ML,volume,30 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-EDP-CEDAR-50-ML,volume,50 ml,,,
G-SOLID-SCENT-FIG,Beauty,simple,beauty,Beauty,,Solid perfume Fig,24,,1,1,2,0.2,"The same five notes in a beeswax base, in a pocket tin. Warm it with a fingertip and press on the wrists. The tin fits a pocket and never spills.","The same five notes in a beeswax base, in a pocket tin.",59,1,,,Fig,,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,solid-perfume-fig,,,,,,
G-SOLID-SCENT-NEROLI,Beauty,simple,beauty,Beauty,,Solid perfume Neroli,24,,1,1,2,0.2,"The same five notes in a beeswax base, in a pocket tin. Warm it with a fingertip and press on the wrists. The tin fits a pocket and never spills.","The same five notes in a beeswax base, in a pocket tin.",16,1,,,Neroli,,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,solid-perfume-neroli,,,,,,
G-SOLID-SCENT-CEDAR,Beauty,simple,beauty,Beauty,,Solid perfume Cedar,24,,1,1,2,0.2,"The same five notes in a beeswax base, in a pocket tin. Warm it with a fingertip and press on the wrists. The tin fits a pocket and never spills.","The same five notes in a beeswax base, in a pocket tin.",38,1,,,Cedar,,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,solid-perfume-cedar,,,,,,
G-SOLID-SCENT-ROSE,Beauty,simple,beauty,Beauty,,Solid perfume Rose,24,,1,1,2,0.2,"The same five notes in a beeswax base, in a pocket tin. Warm it with a fingertip and press on the wrists. The tin fits a pocket and never spills.","The same five notes in a beeswax base, in a pocket tin.",21,1,,,Rose,,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,solid-perfume-rose,,,,,,
G-SOLID-SCENT,Beauty,configurable,beauty,Beauty,Fragrance,Solid perfume,24,,1,4,2,0.2,"The same five notes in a beeswax base, in a pocket tin. Warm it with a fingertip and press on the wrists. The tin fits a pocket and never spills.","The same five notes in a beeswax base, in a pocket tin.",0,1,,,,,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,g-solid-scent.webp,solid-perfume,G-SOLID-SCENT-FIG,scent,Fig,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-SOLID-SCENT-NEROLI,scent,Neroli,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-SOLID-SCENT-CEDAR,scent,Cedar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-SOLID-SCENT-ROSE,scent,Rose,,,
G-ROOM-MIST-FIG,Beauty,simple,beauty,Beauty,,Linen mist Fig,22,,1,1,2,0.2,"A light mist for sheets and towels. Two sprays on the pillow before bed, or on towels fresh from the line. It dries without marks.",A light mist for sheets and towels.,34,1,,100 ml,Fig,,g-room-mist.webp,g-room-mist.webp,g-room-mist.webp,g-room-mist.webp,linen-mist-fig,,,,,,
G-ROOM-MIST-CITRUS,Beauty,simple,beauty,Beauty,,Linen mist Citrus,22,,1,1,2,0.2,"A light mist for sheets and towels. Two sprays on the pillow before bed, or on towels fresh from the line. It dries without marks.",A light mist for sheets and towels.,53,1,,100 ml,Citrus,,g-room-mist.webp,g-room-mist.webp,g-room-mist.webp,g-room-mist.webp,linen-mist-citrus,,,,,,
G-ROOM-MIST,Beauty,configurable,beauty,Beauty,Fragrance,Linen mist,22,,1,4,2,0.2,"A light mist for sheets and towels. Two sprays on the pillow before bed, or on towels fresh from the line. It dries without marks.",A light mist for sheets and towels.,0,1,,100 ml,,,g-room-mist.webp,g-room-mist.webp,g-room-mist.webp,g-room-mist.webp,linen-mist,G-ROOM-MIST-FIG,scent,Fig,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-ROOM-MIST-CITRUS,scent,Citrus,,,
G-CANDLE-FIG,Beauty,simple,beauty,Beauty,,Soy candle Fig,32,,1,1,2,0.2,"A forty-hour soy candle in a reusable glass. Trim the wick to five millimetres before each burn. Once the wax is gone, the glass holds pens.",A forty-hour soy candle in a reusable glass.,11,1,,,Fig,,g-candle.webp,g-candle.webp,g-candle.webp,g-candle.webp,soy-candle-fig,,,,,,
G-CANDLE-CEDAR,Beauty,simple,beauty,Beauty,,Soy candle Cedar,32,,1,1,2,0.2,"A forty-hour soy candle in a reusable glass. Trim the wick to five millimetres before each burn. Once the wax is gone, the glass holds pens.",A forty-hour soy candle in a reusable glass.,30,1,,,Cedar,,g-candle.webp,g-candle.webp,g-candle.webp,g-candle.webp,soy-candle-cedar,,,,,,
G-CANDLE-ROSE,Beauty,simple,beauty,Beauty,,Soy candle Rose,32,,1,1,2,0.2,"A forty-hour soy candle in a reusable glass. Trim the wick to five millimetres before each burn. Once the wax is gone, the glass holds pens.",A forty-hour soy candle in a reusable glass.,53,1,,,Rose,,g-candle.webp,g-candle.webp,g-candle.webp,g-candle.webp,soy-candle-rose,,,,,,
G-CANDLE,Beauty,configurable,beauty,Beauty,Fragrance,Soy candle,32,,1,4,2,0.2,"A forty-hour soy candle in a reusable glass. Trim the wick to five millimetres before each burn. Once the wax is gone, the glass holds pens.",A forty-hour soy candle in a reusable glass.,0,1,,,,,g-candle.webp,g-candle.webp,g-candle.webp,g-candle.webp,soy-candle,G-CANDLE-FIG,scent,Fig,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-CANDLE-CEDAR,scent,Cedar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-CANDLE-ROSE,scent,Rose,,,
G-DISCOVERY,Beauty,simple,beauty,Beauty,Fragrance,Fragrance discovery set,20,,1,4,2,0.2,"Three 2 ml vials of the eau de parfums, credited against a full bottle. Try each vial for a day before deciding. The price comes off the full bottle you choose afterwards.","Three 2 ml vials of the eau de parfums, credited against a full bottle.",21,1,,,,,g-discovery.webp,g-discovery.webp,g-discovery.webp,g-discovery.webp,fragrance-discovery-set,,,,,,
,,,,Beauty,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,
G-AM-ROUTINE,Beauty,grouped,beauty,Beauty,Sets,Morning routine,90,,1,4,2,0.2,"Gel cleanser, vitamin C and day cream, at a saving. Three steps in the order they are listed, five minutes in total. The set costs less than the three bought apart.","Gel cleanser, vitamin C and day cream, at a saving.",0,1,All skin,,Unscented,,g-am-routine.webp,g-am-routine.webp,g-am-routine.webp,g-am-routine.webp,morning-routine,,,,G-GEL-CLEANSER-100-ML,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G-VIT-C-30-ML,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G-DAY-CREAM-50-ML,1,3
G-PM-ROUTINE,Beauty,grouped,beauty,Beauty,Sets,Evening routine,100,,1,4,2,0.2,"Cleansing balm, retinal serum and night cream. Balm first, serum on dry skin, cream last. Start the serum slowly, the leaflet explains how.","Cleansing balm, retinal serum and night cream.",0,1,All skin,,Unscented,,g-pm-routine.webp,g-pm-routine.webp,g-pm-routine.webp,g-pm-routine.webp,evening-routine,,,,G-CLEANSE-BALM-50-ML,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G-RETINAL,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G-NIGHT-CREAM-50-ML,1,3
G-TRAVEL-KIT,Beauty,simple,beauty,Beauty,Sets,Travel kit,34,,1,4,2,0.2,"Five 30 ml bottles in a linen pouch, cabin approved. Cleanser, serum, day cream, night cream and body wash in bottles that pass security. The pouch washes at forty degrees.","Five 30 ml bottles in a linen pouch, cabin approved.",47,1,All skin,30 ml,Unscented,,g-travel-kit.webp,g-travel-kit.webp,g-travel-kit.webp,g-travel-kit.webp,travel-kit,,,,,,
G-HAND-SET,Beauty,grouped,beauty,Beauty,Sets,Hand care set,28,,1,4,2,0.2,"Hand cream, repair balm and a nail oil in a small box. Everything for hands that garden, type and wash too often. The box is ready to give.","Hand cream, repair balm and a nail oil in a small box.",0,1,All skin,,Unscented,,g-hand-set.webp,g-hand-set.webp,g-hand-set.webp,g-hand-set.webp,hand-care-set,,,,G-HAND-CREAM-UNSCENTED,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G-BALM,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G-LIP-BALM,1,3
,,,,Beauty,Body,,,,,,,,,,,,,,,,,,,,,,,,,,
G-HEADBAND,Beauty,simple,beauty,Beauty,Sets,Spa headband,10,,1,4,2,0.2,A soft cotton terry headband for cleansing. It keeps hair off the face while the balm does its work. Machine washable.,A soft cotton terry headband for cleansing.,26,1,,,,,g-headband.webp,g-headband.webp,g-headband.webp,g-headband.webp,spa-headband,,,,,,
G-GUA-SHA,Beauty,simple,beauty,Beauty,Sets,Jade gua sha,18,,1,4,2,0.2,"A jade tool for the face oil step. Cool stone, slow strokes from the centre of the face outward. A minute each side, after the face oil.",A jade tool for the face oil step.,44,1,,,,,g-gua-sha.webp,g-gua-sha.webp,g-gua-sha.webp,g-gua-sha.webp,jade-gua-sha,,,,,,
G-GIFT-CARD,Beauty,virtual,beauty,Beauty,Sets,Glow gift card,50,,1,4,2,0.2,"A gift card by email, for a routine they choose. Delivered by email within the hour, with a message of your own. Valid for a year on everything in the store.","A gift card by email, for a routine they choose.",49,1,,,,,g-gift-card.webp,g-gift-card.webp,g-gift-card.webp,g-gift-card.webp,glow-gift-card,,,,,,
